"","field","exp","plot","subplot","year","ntrt","disk","other.add","ntrt.origin","burn.origin","fence.origin","mass.above"
"1","A",1,1,"Whole",1982,9,0,0,1,1,1,7.69071428571429
"2","A",1,1,"Whole",1983,9,0,0,1,1,1,25.1045625
"3","A",1,1,"Whole",1984,9,0,0,1,1,1,17.2577647058824
"4","A",1,1,"Whole",1985,9,0,0,1,1,1,26.6796875
"5","A",1,1,"Whole",1986,9,0,0,1,1,1,42.0778888888889
"6","A",1,1,"Whole",1987,9,0,0,1,1,1,53.2575625
"7","A",1,1,"Whole",1988,9,0,0,1,1,1,36.0262
"8","A",1,1,"Whole",1989,9,0,0,1,1,1,52.9815555555556
"9","A",1,1,"Whole",1990,9,0,0,1,1,1,53.2214545454545
"10","A",1,1,"Whole",1991,9,0,0,1,1,1,41.766375
"11","A",1,1,"Whole",1992,9,0,0,1,1,1,54.8033
"12","A",1,1,"Whole",1993,9,0,0,1,1,1,44.0951818181818
"13","A",1,1,"Whole",1994,9,0,0,1,1,1,70.5183636363636
"14","A",1,1,"Whole",1995,9,0,0,1,1,1,125.210666666667
"15","A",1,1,"Whole",1996,9,0,0,1,1,1,40.44875
"16","A",1,1,"Whole",1997,9,0,0,1,1,1,80.0605
"17","A",1,1,"Whole",1998,9,0,0,1,1,1,142.8102
"18","A",1,1,"Whole",1999,9,0,0,1,1,1,136.214857142857
"19","A",1,1,"Whole",2000,9,0,0,1,1,1,95.986
"20","A",1,1,"Whole",2001,9,0,0,1,1,1,56.6561666666667
"21","A",1,1,"Whole",2002,9,0,0,1,1,1,77.00925
"22","A",1,1,"Whole",2003,9,0,0,1,1,1,85.5672
"23","A",1,1,"Whole",2004,9,0,0,1,1,1,7.5619
"24","A",1,1,"Whole",2008,9,0,0,1,0,0,8.06416666666667
"25","A",1,1,"Whole",2013,9,0,0,1,0,0,15.665
"26","A",1,1,"Whole",2018,9,0,0,1,0,0,13.3390909090909
"27","A",1,1,"Whole",2019,9,0,0,1,0,0,14.5014285714286
"28","A",1,2,"Whole",1982,2,0,1,1,1,1,16.3236
"29","A",1,2,"Whole",1983,2,0,1,1,1,1,29.3406363636364
"30","A",1,2,"Whole",1984,2,0,1,1,1,1,26.1915882352941
"31","A",1,2,"Whole",1985,2,0,1,1,1,1,22.3220714285714
"32","A",1,2,"Whole",1986,2,0,1,1,1,1,34.2283333333333
