Year,Field,Plot,Depth,NTrt,NAdd,NitrAdd,NAtm+NAdd,Fenced,Orignal Fence Trt,Burned,Original Burn Trt,Original Trt,% Carbon,% Nitrogen
year,field,plot,depth,ntrt,nadd,fertadd,natm.nadd,fence,fence.origin,burn,burn.origin,trt.origin,pct.c,pct.n
1982,C,1,0-15,6,9.52,28,10.52,1,1,0,0,1,0.606,0.055
1982,C,1,0-15,6,9.52,28,10.52,1,1,0,0,1,0.623,0.055
1982,C,2,0-15,3,2.04,6,3.04,1,1,0,0,1,0.573,0.052
1982,C,2,0-15,3,2.04,6,3.04,1,1,0,0,1,0.605,0.054
1982,C,3,0-15,7,17,50,18,1,1,0,0,1,0.678,0.063
1982,C,3,0-15,7,17,50,18,1,1,0,0,1,0.708,0.064
1982,C,4,0-15,2,1.02,3,2.02,1,1,0,0,1,0.697,0.063
1982,C,4,0-15,2,1.02,3,2.02,1,1,0,0,1,0.704,0.063
1982,C,5,0-15,4,3.4,10,4.4,1,1,0,0,1,0.671,0.06
1982,C,5,0-15,4,3.4,10,4.4,1,1,0,0,1,0.639,0.057
1982,C,6,0-15,5,5.44,16,6.44,1,1,0,0,1,0.606,0.057
1982,C,6,0-15,5,5.44,16,6.44,1,1,0,0,1,0.566,0.055
1982,C,7,0-15,3,2.04,6,3.04,1,1,0,0,1,0.644,0.058
1982,C,7,0-15,3,2.04,6,3.04,1,1,0,0,1,0.706,0.063
1982,C,8,0-15,1,0,0,1,1,1,0,0,1,0.619,0.056
1982,C,8,0-15,1,0,0,1,1,1,0,0,1,0.655,0.06
1982,C,9,0-15,6,9.52,28,10.52,1,1,0,0,1,0.618,0.058
1982,C,9,0-15,6,9.52,28,10.52,1,1,0,0,1,0.587,0.057
1982,C,10,0-15,4,3.4,10,4.4,1,1,0,0,1,0.643,0.059
1982,C,10,0-15,4,3.4,10,4.4,1,1,0,0,1,0.74,0.067
1982,C,10,0-15,4,3.4,10,4.4,1,1,0,0,1,0.66,0.061
1982,C,10,0-15,4,3.4,10,4.4,1,1,0,0,1,0.665,0.06
1982,C,11,0-15,2,1.02,3,2.02,1,1,0,0,1,0.72,0.065
1982,C,11,0-15,2,1.02,3,2.02,1,1,0,0,1,0.794,0.072
1982,C,12,0-15,7,17,50,18,1,1,0,0,1,0.715,0.067
1982,C,12,0-15,7,17,50,18,1,1,0,0,1,0.631,0.059
1982,C,12,0-15,7,17,50,18,1,1,0,0,1,0.674,0.061
1982,C,12,0-15,7,17,50,18,1,1,0,0,1,0.623,0.058
1982,C,13,0-15,6,9.52,28,10.52,1,1,0,0,1,0.588,0.056
1982,C,13,0-15,6,9.52,28,10.52,1,1,0,0,1,0.638,0.061
1982,C,14,0-15,5,5.44,16,6.44,1,1,0,0,1,0.662,0.058
1982,C,14,0-15,5,5.44,16,6.44,1,1,0,0,1,0.576,0.054
1982,C,14,0-15,5,5.44,16,6.44,1,1,0,0,1,0.654,0.062
1982,C,14,0-15,5,5.44,16,6.44,1,1,0,0,1,0.624,0.058
1982,C,15,0-15,8,27.2,80,28.2,1,1,0,0,1,0.603,0.057
1982,C,15,0-15,8,27.2,80,28.2,1,1,0,0,1,0.54,0.052
1982,C,16,0-15,5,5.44,16,6.44,1,1,0,0,1,0.576,0.053
1982,C,16,0-15,5,5.44,16,6.44,1,1,0,0,1,0.575,0.053
1982,C,17,0-15,2,1.02,3,2.02,1,1,0,0,1,0.661,0.063
1982,C,17,0-15,2,1.02,3,2.02,1,1,0,0,1,0.607,0.058
1982,C,18,0-15,9,0,0,1,1,1,0,0,1,0.729,0.07
1982,C,18,0-15,9,0,0,1,1,1,0,0,1,0.679,0.064
1982,C,19,0-15,4,3.4,10,4.4,1,1,0,0,1,0.644,0.058
1982,C,19,0-15,4,3.4,10,4.4,1,1,0,0,1,0.695,0.062
1982,C,20,0-15,3,2.04,6,3.04,1,1,0,0,1,0.616,0.058
1982,C,20,0-15,3,2.04,6,3.04,1,1,0,0,1,0.692,0.06
1982,C,20,0-15,3,2.04,6,3.04,1,1,0,0,1,0.643,0.061
1982,C,20,0-15,3,2.04,6,3.04,1,1,0,0,1,0.615,0.057
1982,C,21,0-15,8,27.2,80,28.2,1,1,0,0,1,0.551,0.051
1982,C,21,0-15,8,27.2,80,28.2,1,1,0,0,1,0.548,0.05
1982,C,22,0-15,7,17,50,18,1,1,0,0,1,0.606,0.056
1982,C,22,0-15,7,17,50,18,1,1,0,0,1,0.622,0.057
1982,C,23,0-15,8,27.2,80,28.2,1,1,0,0,1,0.492,0.046
1982,C,23,0-15,8,27.2,80,28.2,1,1,0,0,1,0.471,0.045
1982,C,24,0-15,6,9.52,28,10.52,1,1,0,0,1,0.557,0.052
1982,C,24,0-15,6,9.52,28,10.52,1,1,0,0,1,0.514,0.048
1982,C,25,0-15,7,17,50,18,1,1,0,0,1,0.661,0.059
1982,C,25,0-15,7,17,50,18,1,1,0,0,1,0.698,0.062
1982,C,26,0-15,1,0,0,1,1,1,0,0,1,0.614,0.056
1982,C,26,0-15,1,0,0,1,1,1,0,0,1,0.572,0.052
1982,C,27,0-15,2,1.02,3,2.02,1,1,0,0,1,0.491,0.046
1982,C,27,0-15,2,1.02,3,2.02,1,1,0,0,1,0.493,0.047
1982,C,28,0-15,9,0,0,1,1,1,0,0,1,0.556,0.05
1982,C,28,0-15,9,0,0,1,1,1,0,0,1,0.526,0.049
1982,C,29,0-15,8,27.2,80,28.2,1,1,0,0,1,0.508,0.046
1982,C,29,0-15,8,27.2,80,28.2,1,1,0,0,1,0.537,0.048
1982,C,30,0-15,9,0,0,1,1,1,0,0,1,0.522,0.048
1982,C,30,0-15,9,0,0,1,1,1,0,0,1,0.537,0.051
1982,C,31,0-15,6,9.52,28,10.52,1,1,0,0,1,0.686,0.061
1982,C,31,0-15,6,9.52,28,10.52,1,1,0,0,1,0.69,0.062
1982,C,32,0-15,3,2.04,6,3.04,1,1,0,0,1,0.654,0.058
1982,C,32,0-15,3,2.04,6,3.04,1,1,0,0,1,0.704,0.064
1982,C,33,0-15,9,0,0,1,1,1,0,0,1,0.555,0.051
1982,C,33,0-15,9,0,0,1,1,1,0,0,1,0.548,0.051
1982,C,34,0-15,3,2.04,6,3.04,1,1,0,0,1,0.58,0.052
1982,C,34,0-15,3,2.04,6,3.04,1,1,0,0,1,0.58,0.054
1982,C,35,0-15,5,5.44,16,6.44,1,1,0,0,1,0.55,0.05
1982,C,35,0-15,5,5.44,16,6.44,1,1,0,0,1,0.481,0.045
1982,C,36,0-15,3,2.04,6,3.04,1,1,0,0,1,0.562,0.053
