Exp,Year,Field,Plot,Subplot,Ntrt,NAdd(g/m2/yr),BurnTrtStarting1992,LastYrNtrtRec,Original N,Original Burn,Original Fencing,Original Treatment,Species,Mass(g/m2)
exp,year,field,plot,subplot,ntrt,nadd,burn.trt.1992,ntrt.last.year,ntrt.origin,burn.origin,fence.origin,trt.origin,species,mass.above
2,1982,A,1,Whole,5,16,0,1982,1,1,1,1,Achillea millefolium(lanulosa),1.833
2,1982,A,1,Whole,5,16,0,1982,1,1,1,1,Agropyron repens,110.533
2,1982,A,1,Whole,5,16,0,1982,1,1,1,1,Ambrosia coronopifolia,163.333
2,1982,A,1,Whole,5,16,0,1982,1,1,1,1,Euphorbia glyptosperma,0.117
2,1982,A,1,Whole,5,16,0,1982,1,1,1,1,Polygonum convolvulus,23.467
2,1982,A,2,Whole,9,0,0,1982,1,1,1,1,Agropyron repens,65.467
2,1982,A,2,Whole,9,0,0,1982,1,1,1,1,Ambrosia coronopifolia,52.733
2,1982,A,2,Whole,9,0,0,1982,1,1,1,1,Berteroa incana,37.9
2,1982,A,2,Whole,9,0,0,1982,1,1,1,1,Euphorbia (supina) maculata,0.573
2,1982,A,2,Whole,9,0,0,1982,1,1,1,1,Mollugo verticillata,0.24
2,1982,A,2,Whole,9,0,0,1982,1,1,1,1,Polygonum convolvulus,8.5
2,1982,A,2,Whole,9,0,0,1982,1,1,1,1,Setaria lutescens (glauca),5.733
2,1982,A,3,Whole,9,0,0,1982,1,1,1,1,Agropyron repens,31.933
2,1982,A,3,Whole,9,0,0,1982,1,1,1,1,Ambrosia coronopifolia,155.333
2,1982,A,3,Whole,9,0,0,1982,1,1,1,1,Berteroa incana,1.8
2,1982,A,3,Whole,9,0,0,1982,1,1,1,1,Chenopodium album,0.4
2,1982,A,3,Whole,9,0,0,1982,1,1,1,1,Euphorbia glyptosperma,14.033
2,1982,A,3,Whole,9,0,0,1982,1,1,1,1,Mollugo verticillata,4
2,1982,A,3,Whole,9,0,0,1982,1,1,1,1,Polygonum convolvulus,9.367
2,1982,A,3,Whole,9,0,0,1982,1,1,1,1,Setaria lutescens (glauca),0.05
2,1982,A,4,Whole,2,3,0,1982,1,1,1,1,Agropyron repens,55.767
2,1982,A,4,Whole,2,3,0,1982,1,1,1,1,Ambrosia artemisiifolia elatior,39.733
2,1982,A,4,Whole,2,3,0,1982,1,1,1,1,Berteroa incana,15.767
2,1982,A,4,Whole,2,3,0,1982,1,1,1,1,Euphorbia (supina) maculata,4.1
2,1982,A,4,Whole,2,3,0,1982,1,1,1,1,Mollugo verticillata,7.2
2,1982,A,4,Whole,2,3,0,1982,1,1,1,1,Polygonum convolvulus,4.8
2,1982,A,4,Whole,2,3,0,1982,1,1,1,1,Setaria lutescens (glauca),0.463
2,1982,A,5,Whole,8,80,0,1982,1,1,1,1,Agropyron repens,153
2,1982,A,5,Whole,8,80,0,1982,1,1,1,1,Ambrosia artemisiifolia elatior,256.2
2,1982,A,5,Whole,8,80,0,1982,1,1,1,1,Berteroa incana,0.673
2,1982,A,5,Whole,8,80,0,1982,1,1,1,1,Chenopodium album,0.61
2,1982,A,5,Whole,8,80,0,1982,1,1,1,1,Panicum capillare,4.267
2,1982,A,5,Whole,8,80,0,1982,1,1,1,1,Polygonum convolvulus,44.333
2,1982,A,6,Whole,9,0,0,1982,1,1,1,1,Agropyron repens,18.1
2,1982,A,6,Whole,9,0,0,1982,1,1,1,1,Ambrosia coronopifolia,46.533
2,1982,A,6,Whole,9,0,0,1982,1,1,1,1,Berteroa incana,12.767
2,1982,A,6,Whole,9,0,0,1982,1,1,1,1,Digitaria ischaemum,0.667
2,1982,A,6,Whole,9,0,0,1982,1,1,1,1,Polygonum convolvulus,18.667
2,1982,A,6,Whole,9,0,0,1982,1,1,1,1,Setaria lutescens (glauca),8.433
2,1982,A,7,Whole,9,0,0,1982,1,1,1,1,Achillea millefolium(lanulosa),1.733
2,1982,A,7,Whole,9,0,0,1982,1,1,1,1,Agropyron repens,47.633
2,1982,A,7,Whole,9,0,0,1982,1,1,1,1,Ambrosia artemisiifolia elatior,2.7
2,1982,A,7,Whole,9,0,0,1982,1,1,1,1,Digitaria ischaemum,1.733
2,1982,A,7,Whole,9,0,0,1982,1,1,1,1,Poa pratensis,9.2
2,1982,A,7,Whole,9,0,0,1982,1,1,1,1,Polygonum convolvulus,0.59
2,1982,A,7,Whole,9,0,0,1982,1,1,1,1,Setaria lutescens (glauca),9.933
2,1982,A,8,Whole,4,10,0,1982,1,1,1,1,Agropyron repens,64.667
2,1982,A,8,Whole,4,10,0,1982,1,1,1,1,Agrostis scabra,0.243
2,1982,A,8,Whole,4,10,0,1982,1,1,1,1,Ambrosia artemisiifolia elatior,70.033
2,1982,A,8,Whole,4,10,0,1982,1,1,1,1,Berteroa incana,21.467
2,1982,A,8,Whole,4,10,0,1982,1,1,1,1,Hedeoma hispida,0.457
2,1982,A,8,Whole,4,10,0,1982,1,1,1,1,Polygonum convolvulus,24.6
2,1982,A,8,Whole,4,10,0,1982,1,1,1,1,Polygonum persicaria,6.5
2,1982,A,8,Whole,4,10,0,1982,1,1,1,1,Setaria lutescens (glauca),163.167
2,1982,A,9,Whole,6,28,0,1982,1,1,1,1,Agropyron repens,102.633
2,1982,A,9,Whole,6,28,0,1982,1,1,1,1,Agrostis scabra,0.15
2,1982,A,9,Whole,6,28,0,1982,1,1,1,1,Ambrosia coronopifolia,227.233
2,1982,A,9,Whole,6,28,0,1982,1,1,1,1,Berteroa incana,21.9
2,1982,A,9,Whole,6,28,0,1982,1,1,1,1,Chenopodium album,0.533
2,1982,A,9,Whole,6,28,0,1982,1,1,1,1,Digitaria ischaemum,6.7
2,1982,A,9,Whole,6,28,0,1982,1,1,1,1,Euphorbia glyptosperma,3.233
2,1982,A,9,Whole,6,28,0,1982,1,1,1,1,Polygonum convolvulus,37.567
2,1982,A,9,Whole,6,28,0,1982,1,1,1,1,Setaria viridis,2.667
2,1982,A,9,Whole,6,28,0,1982,1,1,1,1,Tragopogon dubius (major),6.2
2,1982,A,10,Whole,4,10,0,1982,1,1,1,1,Achillea millefolium(lanulosa),0.027
2,1982,A,10,Whole,4,10,0,1982,1,1,1,1,Agropyron repens,85.2
2,1982,A,10,Whole,4,10,0,1982,1,1,1,1,Ambrosia coronopifolia,90.767
2,1982,A,10,Whole,4,10,0,1982,1,1,1,1,Berteroa incana,21.867
2,1982,A,10,Whole,4,10,0,1982,1,1,1,1,Chenopodium album,0.36
2,1982,A,10,Whole,4,10,0,1982,1,1,1,1,Cyperus sp.,0.353
2,1982,A,10,Whole,4,10,0,1982,1,1,1,1,Euphorbia glyptosperma,0.48
2,1982,A,10,Whole,4,10,0,1982,1,1,1,1,Polygonum convolvulus,12.267
2,1982,A,10,Whole,4,10,0,1982,1,1,1,1,Setaria lutescens (glauca),5.967
2,1982,A,11,Whole,7,50,0,1982,1,1,1,1,Agropyron repens,112.967
2,1982,A,11,Whole,7,50,0,1982,1,1,1,1,Ambrosia artemisiifolia elatior,181
2,1982,A,11,Whole,7,50,0,1982,1,1,1,1,Berteroa incana,18.267
2,1982,A,11,Whole,7,50,0,1982,1,1,1,1,Chenopodium album,114.667
2,1982,A,11,Whole,7,50,0,1982,1,1,1,1,Euphorbia (supina) maculata,3.467
2,1982,A,11,Whole,7,50,0,1982,1,1,1,1,Mollugo verticillata,0.82
2,1982,A,11,Whole,7,50,0,1982,1,1,1,1,Polygonum convolvulus,61.367
