Year,Field,Plot,Depth,Ntrt,NAdd(g/m2/yr),TrtRecAfter1991,NtrtRecBefore1992,BurnTrtStarting1992,BurnRecBeginning1992,LastYrNtrtRec,Original N,Original Burn,Original Treatment,TrtRecAfter2013,% Carbon,% Nitrogen
year,field,plot,depth,ntrt,nadd,TrtRecAfter1991,NtrtRecBefore1992,burn.trt.1992,BurnRecBeginning1992,ntrt.last.year,ntrt.origin,burn.origin,trt.origin,TrtRecAfter2013,pct.c,pct.n
1982,B,1,,6,28,1,1,0,1,2013,1,1,1,0,0.462,0.039
1982,B,1,,6,28,1,1,1,1,2013,1,1,1,0,0.487,0.041
1982,B,1,,6,28,1,1,1,1,CurrentYear,1,1,1,1,0.462,0.039
1982,B,1,,6,28,1,1,1,1,CurrentYear,1,1,1,1,0.487,0.041
1982,B,2,,4,10,1,1,1,1,CurrentYear,1,1,1,1,0.41,0.036
1982,B,2,,4,10,1,1,1,1,CurrentYear,1,1,1,1,0.396,0.034
1982,B,2,,4,10,1,1,1,1,2013,1,1,1,0,0.41,0.036
1982,B,2,,4,10,1,1,1,1,2013,1,1,1,0,0.396,0.034
1982,B,3,,8,80,1,1,1,1,CurrentYear,1,1,1,1,0.401,0.035
1982,B,3,,8,80,1,1,1,1,CurrentYear,1,1,1,1,0.378,0.034
1982,B,3,,8,80,1,1,1,1,2013,1,1,1,0,0.401,0.035
1982,B,3,,8,80,1,1,1,1,2013,1,1,1,0,0.378,0.034
1982,B,4,,6,28,1,1,0,0,2013,1,1,1,0,0.474,0.037
1982,B,4,,6,28,1,1,0,0,2013,1,1,1,0,0.455,0.036
1982,B,4,,6,28,1,1,0,0,CurrentYear,1,1,1,1,0.474,0.037
1982,B,4,,6,28,1,1,0,0,CurrentYear,1,1,1,1,0.455,0.036
1982,B,5,,9,0,1,1,1,1,CurrentYear,1,1,1,1,0.645,0.047
1982,B,5,,9,0,1,1,1,1,CurrentYear,1,1,1,1,0.624,0.045
1982,B,6,,2,3,1,1,0,0,CurrentYear,1,1,1,1,0.552,0.044
1982,B,6,,2,3,1,1,0,0,CurrentYear,1,1,1,1,0.536,0.04
1982,B,6,,2,3,1,1,0,0,2013,1,1,1,0,0.552,0.044
1982,B,6,,2,3,1,1,0,0,2013,1,1,1,0,0.536,0.04
1982,B,7,,1,0,1,1,0,0,2013,1,1,1,0,0.376,0.034
1982,B,7,,1,0,1,1,0,0,2013,1,1,1,0,0.326,0.03
1982,B,7,,1,0,1,1,0,0,CurrentYear,1,1,1,1,0.376,0.034
1982,B,7,,1,0,1,1,0,0,CurrentYear,1,1,1,1,0.326,0.03
1982,B,8,,1,0,1,1,1,1,CurrentYear,1,1,1,1,0.316,0.028
1982,B,8,,1,0,1,1,1,1,CurrentYear,1,1,1,1,0.332,0.03
1982,B,8,,1,0,1,1,1,1,2013,1,1,1,0,0.316,0.028
1982,B,8,,1,0,1,1,1,1,2013,1,1,1,0,0.332,0.03
1982,B,9,,7,50,1,1,1,1,CurrentYear,1,1,1,1,0.456,0.035
1982,B,9,,7,50,1,1,1,1,CurrentYear,1,1,1,1,0.469,0.035
1982,B,9,,7,50,1,1,1,1,2013,1,1,1,0,0.456,0.035
1982,B,9,,7,50,1,1,1,1,2013,1,1,1,0,0.469,0.035
1982,B,10,,5,16,1,1,0,0,CurrentYear,1,1,1,1,0.442,0.034
1982,B,10,,5,16,1,1,0,0,CurrentYear,1,1,1,1,0.454,0.034
1982,B,10,,5,16,1,1,0,0,2013,1,1,1,0,0.442,0.034
1982,B,10,,5,16,1,1,0,0,2013,1,1,1,0,0.454,0.034
1982,B,11,,5,16,1,1,1,1,2013,1,1,1,0,0.519,0.042
1982,B,11,,5,16,1,1,1,1,2013,1,1,1,0,0.542,0.044
